Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 16,777,216
  lm_head                 : 2,097,152
  transformer_matrices    : 20,972,544
  scalars                 : 16
  total                   : 41,944,080
Estimated FLOPs per token: 2.390815e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 8.318209 | lrm: 1.00 | dt: 2464ms | tok/sec: 53,195 | mfu: 1.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.231160 | lrm: 1.00 | dt: 242ms | tok/sec: 541,170 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 7.849988 | lrm: 1.00 | dt: 243ms | tok/sec: 539,636 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.442455 | lrm: 1.00 | dt: 242ms | tok/sec: 540,626 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.087637 | lrm: 1.00 | dt: 243ms | tok/sec: 540,403 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 6.810007 | lrm: 1.00 | dt: 243ms | tok/sec: 540,233 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.582871 | lrm: 1.00 | dt: 243ms | tok/sec: 539,682 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.391219 | lrm: 1.00 | dt: 243ms | tok/sec: 539,616 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.233675 | lrm: 1.00 | dt: 243ms | tok/sec: 539,325 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.104835 | lrm: 1.00 | dt: 243ms | tok/sec: 539,512 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 5.994543 | lrm: 1.00 | dt: 243ms | tok/sec: 538,689 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 5.893351 | lrm: 1.00 | dt: 243ms | tok/sec: 538,786 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 5.806953 | lrm: 1.00 | dt: 243ms | tok/sec: 539,113 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 5.731880 | lrm: 1.00 | dt: 243ms | tok/sec: 538,836 | mfu: 13.0% | epoch: 1 | remaining: 299s    
step 00475 (37.8%) | loss: 2.997497 | lrm: 1.00 | dt: 244ms | tok/sec: 536,547 | mfu: 13.0% | epoch: 1 | remaining: 186s    
step 00476 (37.8%) | loss: 2.997246 | lrm: 1.00 | dt: 244ms | tok/sec: 536,306 | mfu: 13.0% | epoch: 1 | remaining: 186s    
step 00477 (37.9%) | loss: 2.995762 | lrm: 1.00 | dt: 245ms | tok/sec: 535,892 | mfu: 12.9% | epoch: 1 | remaining: 186s    
step 00478 (38.0%) | loss: 2.992186 | lrm: 1.00 | dt: 244ms | tok/sec: 536,338 | mfu: 13.0% | epoch: 1 | remaining: 186s    
step 00479 (38.1%) | loss: 2.992200 | lrm: 1.00 | dt: 245ms | tok/sec: 536,074 | mfu: 13.0% | epoch: 1 | remaining: 185s    
step 00480 (38.2%) | loss: 2.993213 | lrm: 1.00 | dt: 244ms | tok/sec: 536,296 | mfu: 13.0% | epoch: 1 | remaining: 185s    
step 00481 (38.3%) | loss: 2.990469 | lrm: 1.00 | dt: 245ms | tok/sec: 536,007 | mfu: 13.0% | epoch: 1 | remaining: 185s    
step 00482 (38.3%) | loss: 2.996809 | lrm: 1.00 | dt: 245ms | tok/sec: 535,763 | mfu: 12.9% | epoch: 1 | remaining: 185s    
step 00483 (38.4%) | loss: 2.995733 | lrm: 1.00 | dt: 244ms | tok/sec: 536,226 | mfu: 13.0% | epoch: 1 | remaining: 185s    
step 00484 (38.5%) | loss: 2.998032 | lrm: 1.00 | dt: 244ms | tok/sec: 536,352 | mfu: 13.0% | epoch: 1 | remaining: 184s    
step 00485 (38.6%) | loss: 2.994568 | lrm: 1.00 | dt: 244ms | tok/sec: 536,211 | mfu: 13.0% | epoch: 1 | remaining: 184s    
step 00486 (38.7%) | loss: 2.993521 | lrm: 1.00 | dt: 245ms | tok/sec: 536,064 | mfu: 13.0% | epoch: 1 | remaining: 184s    
step 00487 (38.7%) | loss: 2.990802 | lrm: 1.00 | dt: 245ms | tok/sec: 536,052 | mfu: 13.0% | epoch: 1 | remaining: 184s    
step 00488 (38.8%) | loss: 2.991657 | lrm: 1.00 | dt: 244ms | tok/sec: 536,157 | mfu: 13.0% | epoch: 1 | remaining: 183s    
step 00489 (38.9%) | loss: 2.988296 | lrm: 1.00 | dt: 244ms | tok/sec: 536,146 | mfu: 13.0% | epoch: 1 | remaining: 183s    
step 00490 (39.0%) | loss: 2.987704 | lrm: 1.00 | dt: 244ms | tok/sec: 536,129 | mfu: 13.0% | epoch: 1 | remaining: 183s    
step 00491 (39.1%) | loss: 2.989034 | lrm: 1.00 | dt: 244ms | tok/sec: 536,386 | mfu: 13.0% | epoch: 1 | remaining: 183s    
step 00492 (39.1%) | loss: 2.990368 | lrm: 1.00 | dt: 245ms | tok/sec: 535,777 | mfu: 12.9% | epoch: 1 | remaining: 182s    
step 00493 (39.2%) | loss: 2.991083 | lrm: 1.00 | dt: 244ms | tok/sec: 536,305 | mfu: 13.0% | epoch: 1 | remaining: 182s    
step 00494 (39.3%) | loss: 2.985973 | lrm: 1.00 | dt: 244ms | tok/sec: 536,105 | mfu: 13.0% | epoch: 1 | remaining: 182s    
step 00495 (39.4%) | loss: 2.989958 | lrm: 1.00 | dt: 245ms | tok/sec: 535,599 | mfu: 12.9% | epoch: 1 | remaining: 182s    
step 00496 (39.5%) | loss: 2.990847 | lrm: 1.00 | dt: 244ms | tok/sec: 536,083 | mfu: 13.0% | epoch: 1 | remaining: 181s    
step 00497 (39.6%) | loss: 2.997661 | lrm: 1.00 | dt: 244ms | tok/sec: 536,296 | mfu: 13.0% | epoch: 1 | remaining: 181s    
step 00498 (39.6%) | loss: 2.998284 | lrm: 1.00 | dt: 244ms | tok/sec: 536,297 | mfu: 13.0% | epoch: 1 | remaining: 181s    
step 00499 (39.7%) | loss: 2.992821 | lrm: 1.00 | dt: 245ms | tok/sec: 535,921 | mfu: 12.9% | epoch: 1 | remaining: 181s    
step 00500 (39.8%) | loss: 3.002937 | lrm: 1.00 | dt: 245ms | tok/sec: 535,599 | mfu: 12.9% | epoch: 1 | remaining: 180s    
step 00501 (39.9%) | loss: 2.998127 | lrm: 1.00 | dt: 244ms | tok/sec: 536,340 | mfu: 13.0% | epoch: 1 | remaining: 180s    
step 00502 (40.0%) | loss: 2.999251 | lrm: 1.00 | dt: 244ms | tok/sec: 536,192 | mfu: 13.0% | epoch: 1 | remaining: 180s    
step 00503 (40.0%) | loss: 3.003858 | lrm: 1.00 | dt: 244ms | tok/sec: 536,500 | mfu: 13.0% | epoch: 1 | remaining: 180s    
step 00504 (40.1%) | loss: 2.997611 | lrm: 1.00 | dt: 244ms | tok/sec: 536,346 | mfu: 13.0% | epoch: 1 | remaining: 179s    
step 00505 (40.2%) | loss: 2.999586 | lrm: 1.00 | dt: 244ms | tok/sec: 536,362 | mfu: 13.0% | epoch: 1 | remaining: 179s    
step 00506 (40.3%) | loss: 3.009008 | lrm: 1.00 | dt: 244ms | tok/sec: 536,242 | mfu: 13.0% | epoch: 1 | remaining: 179s    
step 00507 (40.4%) | loss: 3.001610 | lrm: 0.99 | dt: 244ms | tok/sec: 536,367 | mfu: 13.0% | epoch: 1 | remaining: 179s    
step 00508 (40.5%) | loss: 2.998660 | lrm: 0.99 | dt: 244ms | tok/sec: 536,218 | mfu: 13.0% | epoch: 1 | remaining: 178s    
step 00509 (40.5%) | loss: 2.994836 | lrm: 0.99 | dt: 244ms | tok/sec: 536,085 | mfu: 13.0% | epoch: 1 | remaining: 178s    
step 00510 (40.6%) | loss: 2.994502 | lrm: 0.99 | dt: 244ms | tok/sec: 536,232 | mfu: 13.0% | epoch: 1 | remaining: 178s    
step 00511 (40.7%) | loss: 2.998028 | lrm: 0.99 | dt: 244ms | tok/sec: 536,391 | mfu: 13.0% | epoch: 1 | remaining: 178s    
step 00512 (40.8%) | loss: 3.000273 | lrm: 0.99 | dt: 245ms | tok/sec: 536,073 | mfu: 13.0% | epoch: 1 | remaining: 177s    
step 00513 (40.9%) | loss: 2.999005 | lrm: 0.99 | dt: 244ms | tok/sec: 536,085 | mfu: 13.0% | epoch: 1 | remaining: 177s    
step 00514 (40.9%) | loss: 2.999787 | lrm: 0.98 | dt: 244ms | tok/sec: 536,347 | mfu: 13.0% | epoch: 1 | remaining: 177s    
step 00515 (41.0%) | loss: 2.999600 | lrm: 0.98 | dt: 244ms | tok/sec: 536,270 | mfu: 13.0% | epoch: 1 | remaining: 177s    
step 00516 (41.1%) | loss: 2.999545 | lrm: 0.98 | dt: 244ms | tok/sec: 536,221 | mfu: 13.0% | epoch: 1 | remaining: 176s    
step 00517 (41.2%) | loss: 2.995323 | lrm: 0.98 | dt: 245ms | tok/sec: 535,708 | mfu: 12.9% | epoch: 1 | remaining: 176s    
step 00518 (41.3%) | loss: 2.994375 | lrm: 0.98 | dt: 245ms | tok/sec: 535,595 | mfu: 12.9% | epoch: 1 | remaining: 176s    
step 00519 (41.3%) | loss: 2.984485 | lrm: 0.98 | dt: 244ms | tok/sec: 536,490 | mfu: 13.0% | epoch: 1 | remaining: 176s    
step 00520 (41.4%) | loss: 2.980756 | lrm: 0.98 | dt: 244ms | tok/sec: 536,127 | mfu: 13.0% | epoch: 1 | remaining: 175s    
step 00521 (41.5%) | loss: 2.981936 | lrm: 0.97 | dt: 244ms | tok/sec: 536,163 | mfu: 13.0% | epoch: 1 | remaining: 175s    
step 00522 (41.6%) | loss: 2.983401 | lrm: 0.97 | dt: 245ms | tok/sec: 535,740 | mfu: 12.9% | epoch: 1 | remaining: 175s    
step 00523 (41.7%) | loss: 2.988316 | lrm: 0.97 | dt: 245ms | tok/sec: 536,081 | mfu: 13.0% | epoch: 1 | remaining: 175s    
step 00524 (41.8%) | loss: 2.993810 | lrm: 0.97 | dt: 245ms | tok/sec: 536,039 | mfu: 13.0% | epoch: 1 | remaining: 174s    
step 00525 (41.8%) | loss: 2.997777 | lrm: 0.97 | dt: 245ms | tok/sec: 535,944 | mfu: 12.9% | epoch: 1 | remaining: 174s    
step 00526 (41.9%) | loss: 2.997774 | lrm: 0.97 | dt: 245ms | tok/sec: 535,994 | mfu: 13.0% | epoch: 1 | remaining: 174s    
step 00527 (42.0%) | loss: 2.995807 | lrm: 0.97 | dt: 244ms | tok/sec: 536,439 | mfu: 13.0% | epoch: 1 | remaining: 174s    
step 00528 (42.1%) | loss: 2.983556 | lrm: 0.97 | dt: 244ms | tok/sec: 536,495 | mfu: 13.0% | epoch: 1 | remaining: 174s    
step 00529 (42.2%) | loss: 2.981991 | lrm: 0.96 | dt: 245ms | tok/sec: 536,067 | mfu: 13.0% | epoch: 1 | remaining: 173s    
step 00530 (42.2%) | loss: 2.981218 | lrm: 0.96 | dt: 245ms | tok/sec: 535,812 | mfu: 12.9% | epoch: 1 | remaining: 173s    
step 00531 (42.3%) | loss: 2.974429 | lrm: 0.96 | dt: 244ms | tok/sec: 536,223 | mfu: 13.0% | epoch: 1 | remaining: 173s    
step 00532 (42.4%) | loss: 2.977697 | lrm: 0.96 | dt: 244ms | tok/sec: 536,478 | mfu: 13.0% | epoch: 1 | remaining: 173s    
step 00533 (42.5%) | loss: 2.981786 | lrm: 0.96 | dt: 244ms | tok/sec: 536,230 | mfu: 13.0% | epoch: 1 | remaining: 172s    
step 00534 (42.6%) | loss: 2.981414 | lrm: 0.96 | dt: 245ms | tok/sec: 535,840 | mfu: 12.9% | epoch: 1 | remaining: 172s    
step 00535 (42.7%) | loss: 2.978899 | lrm: 0.96 | dt: 244ms | tok/sec: 536,121 | mfu: 13.0% | epoch: 1 | remaining: 172s    
step 00536 (42.7%) | loss: 2.980143 | lrm: 0.95 | dt: 244ms | tok/sec: 536,385 | mfu: 13.0% | epoch: 1 | remaining: 172s    
step 00537 (42.8%) | loss: 2.981958 | lrm: 0.95 | dt: 244ms | tok/sec: 536,423 | mfu: 13.0% | epoch: 1 | remaining: 171s    
step 00538 (42.9%) | loss: 2.987801 | lrm: 0.95 | dt: 245ms | tok/sec: 536,044 | mfu: 13.0% | epoch: 1 | remaining: 171s    
step 00539 (43.0%) | loss: 2.982605 | lrm: 0.95 | dt: 245ms | tok/sec: 535,996 | mfu: 13.0% | epoch: 1 | remaining: 171s    
step 00540 (43.1%) | loss: 2.976752 | lrm: 0.95 | dt: 244ms | tok/sec: 536,510 | mfu: 13.0% | epoch: 1 | remaining: 171s    
step 00541 (43.1%) | loss: 2.971245 | lrm: 0.95 | dt: 244ms | tok/sec: 536,197 | mfu: 13.0% | epoch: 1 | remaining: 170s    
step 00542 (43.2%) | loss: 2.969580 | lrm: 0.95 | dt: 244ms | tok/sec: 536,333 | mfu: 13.0% | epoch: 1 | remaining: 170s    
step 00543 (43.3%) | loss: 2.956886 | lrm: 0.94 | dt: 245ms | tok/sec: 535,692 | mfu: 12.9% | epoch: 1 | remaining: 170s    
step 00544 (43.4%) | loss: 2.949441 | lrm: 0.94 | dt: 244ms | tok/sec: 536,326 | mfu: 13.0% | epoch: 1 | remaining: 170s    
step 00545 (43.5%) | loss: 2.943637 | lrm: 0.94 | dt: 244ms | tok/sec: 536,445 | mfu: 13.0% | epoch: 1 | remaining: 169s    
step 00546 (43.5%) | loss: 2.944927 | lrm: 0.94 | dt: 244ms | tok/sec: 536,296 | mfu: 13.0% | epoch: 1 | remaining: 169s    
step 00547 (43.6%) | loss: 2.941908 | lrm: 0.94 | dt: 245ms | tok/sec: 535,950 | mfu: 12.9% | epoch: 1 | remaining: 169s    
step 00548 (43.7%) | loss: 2.946113 | lrm: 0.94 | dt: 245ms | tok/sec: 535,817 | mfu: 12.9% | epoch: 1 | remaining: 169s    
step 00549 (43.8%) | loss: 2.945893 | lrm: 0.94 | dt: 244ms | tok/sec: 536,376 | mfu: 13.0% | epoch: 1 | remaining: 168s    
step 00550 (43.9%) | loss: 2.954945 | lrm: 0.94 | dt: 244ms | tok/sec: 536,467 | mfu: 13.0% | epoch: 1 | remaining: 168s    
step 00551 (44.0%) | loss: 2.956556 | lrm: 0.93 | dt: 245ms | tok/sec: 535,966 | mfu: 12.9% | epoch: 1 | remaining: 168s    
step 00552 (44.0%) | loss: 2.957475 | lrm: 0.93 | dt: 244ms | tok/sec: 536,263 | mfu: 13.0% | epoch: 1 | remaining: 168s    
step 00553 (44.1%) | loss: 2.961478 | lrm: 0.93 | dt: 244ms | tok/sec: 536,630 | mfu: 13.0% | epoch: 1 | remaining: 167s    
step 00554 (44.2%) | loss: 2.958731 | lrm: 0.93 | dt: 244ms | tok/sec: 536,390 | mfu: 13.0% | epoch: 1 | remaining: 167s    
step 00555 (44.3%) | loss: 2.961752 | lrm: 0.93 | dt: 244ms | tok/sec: 536,110 | mfu: 13.0% | epoch: 1 | remaining: 167s    
step 00556 (44.4%) | loss: 2.965521 | lrm: 0.93 | dt: 245ms | tok/sec: 535,940 | mfu: 12.9% | epoch: 1 | remaining: 167s    
step 00557 (44.4%) | loss: 2.963692 | lrm: 0.93 | dt: 244ms | tok/sec: 536,308 | mfu: 13.0% | epoch: 1 | remaining: 166s    
step 00558 (44.5%) | loss: 2.960619 | lrm: 0.92 | dt: 244ms | tok/sec: 536,445 | mfu: 13.0% | epoch: 1 | remaining: 166s    
step 00559 (44.6%) | loss: 2.951870 | lrm: 0.92 | dt: 245ms | tok/sec: 536,034 | mfu: 13.0% | epoch: 1 | remaining: 166s    
step 00560 (44.7%) | loss: 2.952851 | lrm: 0.92 | dt: 245ms | tok/sec: 535,914 | mfu: 12.9% | epoch: 1 | remaining: 166s    
step 00561 (44.8%) | loss: 2.952431 | lrm: 0.92 | dt: 245ms | tok/sec: 535,940 | mfu: 12.9% | epoch: 1 | remaining: 165s    
step 00562 (44.9%) | loss: 2.954984 | lrm: 0.92 | dt: 244ms | tok/sec: 536,394 | mfu: 13.0% | epoch: 1 | remaining: 165s    
step 00563 (44.9%) | loss: 2.949650 | lrm: 0.92 | dt: 244ms | tok/sec: 536,129 | mfu: 13.0% | epoch: 1 | remaining: 165s    
step 00564 (45.0%) | loss: 2.950669 | lrm: 0.92 | dt: 245ms | tok/sec: 535,855 | mfu: 12.9% | epoch: 1 | remaining: 165s    
step 00565 (45.1%) | loss: 2.946028 | lrm: 0.92 | dt: 244ms | tok/sec: 536,112 | mfu: 13.0% | epoch: 1 | remaining: 164s    
step 00566 (45.2%) | loss: 2.950825 | lrm: 0.91 | dt: 245ms | tok/sec: 535,953 | mfu: 12.9% | epoch: 1 | remaining: 164s    
step 00567 (45.3%) | loss: 2.951618 | lrm: 0.91 | dt: 245ms | tok/sec: 535,777 | mfu: 12.9% | epoch: 1 | remaining: 164s    
step 00568 (45.3%) | loss: 2.946299 | lrm: 0.91 | dt: 244ms | tok/sec: 536,214 | mfu: 13.0% | epoch: 1 | remaining: 164s    
step 00569 (45.4%) | loss: 2.942268 | lrm: 0.91 | dt: 245ms | tok/sec: 535,992 | mfu: 13.0% | epoch: 1 | remaining: 163s    
step 00570 (45.5%) | loss: 2.940708 | lrm: 0.91 | dt: 245ms | tok/sec: 536,018 | mfu: 13.0% | epoch: 1 | remaining: 163s    
step 00571 (45.6%) | loss: 2.935262 | lrm: 0.91 | dt: 245ms | tok/sec: 535,930 | mfu: 12.9% | epoch: 1 | remaining: 163s    
step 00572 (45.7%) | loss: 2.937877 | lrm: 0.91 | dt: 244ms | tok/sec: 536,131 | mfu: 13.0% | epoch: 1 | remaining: 163s    
step 00573 (45.7%) | loss: 2.940008 | lrm: 0.90 | dt: 244ms | tok/sec: 536,281 | mfu: 13.0% | epoch: 1 | remaining: 163s    
step 00574 (45.8%) | loss: 2.943469 | lrm: 0.90 | dt: 245ms | tok/sec: 536,063 | mfu: 13.0% | epoch: 1 | remaining: 162s    
step 00575 (45.9%) | loss: 2.942465 | lrm: 0.90 | dt: 244ms | tok/sec: 536,354 | mfu: 13.0% | epoch: 1 | remaining: 162s    
step 00576 (46.0%) | loss: 2.937791 | lrm: 0.90 | dt: 244ms | tok/sec: 536,489 | mfu: 13.0% | epoch: 1 | remaining: 162s    
step 00577 (46.1%) | loss: 2.937264 | lrm: 0.90 | dt: 244ms | tok/sec: 536,175 | mfu: 13.0% | epoch: 1 | remaining: 162s    
step 00578 (46.2%) | loss: 2.937313 | lrm: 0.90 | dt: 244ms | tok/sec: 536,125 | mfu: 13.0% | epoch: 1 | remaining: 161s    
step 00579 (46.2%) | loss: 2.941344 | lrm: 0.90 | dt: 245ms | tok/sec: 535,961 | mfu: 12.9% | epoch: 1 | remaining: 161s    
step 00580 (46.3%) | loss: 2.939177 | lrm: 0.89 | dt: 244ms | tok/sec: 536,292 | mfu: 13.0% | epoch: 1 | remaining: 161s    
step 00581 (46.4%) | loss: 2.940376 | lrm: 0.89 | dt: 244ms | tok/sec: 536,155 | mfu: 13.0% | epoch: 1 | remaining: 161s    
step 00582 (46.5%) | loss: 2.942785 | lrm: 0.89 | dt: 245ms | tok/sec: 536,035 | mfu: 13.0% | epoch: 1 | remaining: 160s    
step 00583 (46.6%) | loss: 2.934738 | lrm: 0.89 | dt: 244ms | tok/sec: 536,256 | mfu: 13.0% | epoch: 1 | remaining: 160s    
step 00584 (46.6%) | loss: 2.935058 | lrm: 0.89 | dt: 244ms | tok/sec: 536,435 | mfu: 13.0% | epoch: 1 | remaining: 160s    
step 00585 (46.7%) | loss: 2.934337 | lrm: 0.89 | dt: 244ms | tok/sec: 536,557 | mfu: 13.0% | epoch: 1 | remaining: 160s    
step 00586 (46.8%) | loss: 2.933752 | lrm: 0.89 | dt: 244ms | tok/sec: 536,327 | mfu: 13.0% | epoch: 1 | remaining: 159s    
step 00587 (46.9%) | loss: 2.933182 | lrm: 0.89 | dt: 244ms | tok/sec: 536,335 | mfu: 13.0% | epoch: 1 | remaining: 159s    
step 00588 (47.0%) | loss: 2.932822 | lrm: 0.88 | dt: 244ms | tok/sec: 536,498 | mfu: 13.0% | epoch: 1 | remaining: 159s    
step 00589 (47.1%) | loss: 2.933951 | lrm: 0.88 | dt: 244ms | tok/sec: 536,214 | mfu: 13.0% | epoch: 1 | remaining: 159s    
step 00590 (47.1%) | loss: 2.936326 | lrm: 0.88 | dt: 244ms | tok/sec: 536,387 | mfu: 13.0% | epoch: 1 | remaining: 158s    
step 00591 (47.2%) | loss: 2.938897 | lrm: 0.88 | dt: 245ms | tok/sec: 536,081 | mfu: 13.0% | epoch: 1 | remaining: 158s    
step 00592 (47.3%) | loss: 2.940163 | lrm: 0.88 | dt: 245ms | tok/sec: 535,904 | mfu: 12.9% | epoch: 1 | remaining: 158s    
step 00593 (47.4%) | loss: 2.936983 | lrm: 0.88 | dt: 244ms | tok/sec: 536,492 | mfu: 13.0% | epoch: 1 | remaining: 158s    
step 00594 (47.5%) | loss: 2.929525 | lrm: 0.88 | dt: 244ms | tok/sec: 536,300 | mfu: 13.0% | epoch: 1 | remaining: 157s    
step 00595 (47.5%) | loss: 2.934324 | lrm: 0.87 | dt: 244ms | tok/sec: 536,292 | mfu: 13.0% | epoch: 1 | remaining: 157s    
step 00596 (47.6%) | loss: 2.934144 | lrm: 0.87 | dt: 245ms | tok/sec: 535,941 | mfu: 12.9% | epoch: 1 | remaining: 157s    
step 00597 (47.7%) | loss: 2.938930 | lrm: 0.87 | dt: 244ms | tok/sec: 536,728 | mfu: 13.0% | epoch: 1 | remaining: 157s    
step 00598 (47.8%) | loss: 2.931351 | lrm: 0.87 | dt: 244ms | tok/sec: 536,454 | mfu: 13.0% | epoch: 1 | remaining: 156s    
step 00599 (47.9%) | loss: 2.922374 | lrm: 0.87 | dt: 244ms | tok/sec: 536,308 | mfu: 13.0% | epoch: 1 | remaining: 156s    
step 00600 (47.9%) | loss: 2.921366 | lrm: 0.87 | dt: 245ms | tok/sec: 535,951 | mfu: 12.9% | epoch: 1 | remaining: 156s    
step 00601 (48.0%) | loss: 2.922488 | lrm: 0.87 | dt: 244ms | tok/sec: 536,351 | mfu: 13.0% | epoch: 1 | remaining: 156s    
step 00602 (48.1%) | loss: 2.922542 | lrm: 0.86 | dt: 244ms | tok/sec: 536,622 | mfu: 13.0% | epoch: 1 | remaining: 155s    
step 00603 (48.2%) | loss: 2.914800 | lrm: 0.86 | dt: 244ms | tok/sec: 536,510 | mfu: 13.0% | epoch: 1 | remaining: 155s    
step 00604 (48.3%) | loss: 2.916563 | lrm: 0.86 | dt: 245ms | tok/sec: 535,950 | mfu: 12.9% | epoch: 1 | remaining: 155s    
step 00605 (48.4%) | loss: 2.917027 | lrm: 0.86 | dt: 244ms | tok/sec: 536,357 | mfu: 13.0% | epoch: 1 | remaining: 155s    
step 00606 (48.4%) | loss: 2.919526 | lrm: 0.86 | dt: 244ms | tok/sec: 536,536 | mfu: 13.0% | epoch: 1 | remaining: 154s    
step 00607 (48.5%) | loss: 2.910757 | lrm: 0.86 | dt: 244ms | tok/sec: 536,316 | mfu: 13.0% | epoch: 1 | remaining: 154s    
step 00608 (48.6%) | loss: 2.912324 | lrm: 0.86 | dt: 244ms | tok/sec: 536,176 | mfu: 13.0% | epoch: 1 | remaining: 154s    
step 00609 (48.7%) | loss: 2.904558 | lrm: 0.86 | dt: 244ms | tok/sec: 536,342 | mfu: 13.0% | epoch: 1 | remaining: 154s    
step 00610 (48.8%) | loss: 2.903433 | lrm: 0.85 | dt: 244ms | tok/sec: 536,189 | mfu: 13.0% | epoch: 1 | remaining: 153s    
step 00611 (48.8%) | loss: 2.909856 | lrm: 0.85 | dt: 245ms | tok/sec: 535,616 | mfu: 12.9% | epoch: 1 | remaining: 153s    
step 00612 (48.9%) | loss: 2.904542 | lrm: 0.85 | dt: 244ms | tok/sec: 536,145 | mfu: 13.0% | epoch: 1 | remaining: 153s    
step 00613 (49.0%) | loss: 2.907572 | lrm: 0.85 | dt: 245ms | tok/sec: 535,701 | mfu: 12.9% | epoch: 1 | remaining: 153s    
step 00614 (49.1%) | loss: 2.906488 | lrm: 0.85 | dt: 244ms | tok/sec: 536,145 | mfu: 13.0% | epoch: 1 | remaining: 152s    
step 00615 (49.2%) | loss: 2.902823 | lrm: 0.85 | dt: 244ms | tok/sec: 536,530 | mfu: 13.0% | epoch: 1 | remaining: 152s    
step 00616 (49.3%) | loss: 2.904098 | lrm: 0.85 | dt: 244ms | tok/sec: 536,097 | mfu: 13.0% | epoch: 1 | remaining: 152s    
step 00617 (49.3%) | loss: 2.911697 | lrm: 0.84 | dt: 244ms | tok/sec: 536,104 | mfu: 13.0% | epoch: 1 | remaining: 152s    
step 00618 (49.4%) | loss: 2.915412 | lrm: 0.84 | dt: 244ms | tok/sec: 536,248 | mfu: 13.0% | epoch: 1 | remaining: 152s    
step 00619 (49.5%) | loss: 2.911089 | lrm: 0.84 | dt: 244ms | tok/sec: 536,408 | mfu: 13.0% | epoch: 1 | remaining: 151s    
step 00620 (49.6%) | loss: 2.908391 | lrm: 0.84 | dt: 244ms | tok/sec: 536,085 | mfu: 13.0% | epoch: 1 | remaining: 151s    
step 00621 (49.7%) | loss: 2.901474 | lrm: 0.84 | dt: 244ms | tok/sec: 536,235 | mfu: 13.0% | epoch: 1 | remaining: 151s    
step 00622 (49.7%) | loss: 2.897874 | lrm: 0.84 | dt: 244ms | tok/sec: 536,309 | mfu: 13.0% | epoch: 1 | remaining: 151s    
step 00623 (49.8%) | loss: 2.898938 | lrm: 0.84 | dt: 244ms | tok/sec: 536,507 | mfu: 13.0% | epoch: 1 | remaining: 150s    
step 00624 (49.9%) | loss: 2.897605 | lrm: 0.83 | dt: 244ms | tok/sec: 536,166 | mfu: 13.0% | epoch: 1 | remaining: 150s    
step 00625 (50.0%) | loss: 2.892586 | lrm: 0.83 | dt: 244ms | tok/sec: 536,248 | mfu: 13.0% | epoch: 1 | remaining: 150s    
step 00626 (50.1%) | loss: 2.895861 | lrm: 0.83 | dt: 244ms | tok/sec: 536,093 | mfu: 13.0% | epoch: 1 | remaining: 150s    
step 00627 (50.1%) | loss: 2.892458 | lrm: 0.83 | dt: 244ms | tok/sec: 536,562 | mfu: 13.0% | epoch: 1 | remaining: 149s    
step 00628 (50.2%) | loss: 2.894970 | lrm: 0.83 | dt: 244ms | tok/sec: 536,594 | mfu: 13.0% | epoch: 1 | remaining: 149s    
step 00629 (50.3%) | loss: 2.892095 | lrm: 0.83 | dt: 244ms | tok/sec: 536,099 | mfu: 13.0% | epoch: 1 | remaining: 149s    
step 00630 (50.4%) | loss: 2.893761 | lrm: 0.83 | dt: 244ms | tok/sec: 536,182 | mfu: 13.0% | epoch: 1 | remaining: 149s    
step 00631 (50.5%) | loss: 2.895128 | lrm: 0.83 | dt: 244ms | tok/sec: 536,285 | mfu: 13.0% | epoch: 1 | remaining: 148s    
step 00632 (50.6%) | loss: 2.894009 | lrm: 0.82 | dt: 244ms | tok/sec: 536,198 | mfu: 13.0% | epoch: 1 | remaining: 148s    
step 00633 (50.6%) | loss: 2.897204 | lrm: 0.82 | dt: 244ms | tok/sec: 536,268 | mfu: 13.0% | epoch: 1 | remaining: 148s    
